Item,Year,Value,Economy
2.1.1 Main Activity Producer,2002,183.03635982570347,01_AUS
2.1.2 Autoproducers,2002,0.0,01_AUS
2.1.3 Gas Processing,2002,8.201699517603872,01_AUS
2.1.4 Loss & Own Use,2002,8.544545304703336,01_AUS
,2002,,01_AUS
2.2 Final Energy Consumption Sector,2002,130.7292698252268,01_AUS
2.2.1 Industry Sector,2002,40.25136309570351,01_AUS
2.2.2 Transport Sector,2002,72.3271991147665,01_AUS
2.2.3 Residential & Commercial,2002,12.075870564389326,01_AUS
2.2.4 Other,2002,6.074837050367495,01_AUS
Total CO2 Emission,2003,335.83711904202875,01_AUS
,2003,,01_AUS
1. CO2 Emission by Energy,2003,335.83711904202875,01_AUS
1.1 Coal & Coal Products,2003,183.50653658067083,01_AUS
1.2 Crude Oil & Petroleum Products,2003,105.09407900015036,01_AUS
1.3 Gas,2003,47.23650346120761,01_AUS
,2003,,01_AUS
2. CO2 Emission by Sector,2003,335.83711904202886,01_AUS
2.1 Transformation Sector,2003,200.74702738341446,01_AUS
2.1.1 Main Activity Producer,2003,185.52228711314768,01_AUS
2.1.2 Autoproducers,2003,0.0,01_AUS
2.1.3 Gas Processing,2003,6.590274440991724,01_AUS
2.1.4 Loss & Own Use,2003,8.634465829275081,01_AUS
,2003,,01_AUS
2.2 Final Energy Consumption Sector,2003,135.0900916586143,01_AUS
2.2.1 Industry Sector,2003,42.46312836575016,01_AUS
2.2.2 Transport Sector,2003,73.90261158356175,01_AUS
2.2.3 Residential & Commercial,2003,12.055983102205534,01_AUS
2.2.4 Other,2003,6.668368607096859,01_AUS
Total CO2 Emission,2004,348.1274659216756,01_AUS
,2004,,01_AUS
1. CO2 Emission by Energy,2004,348.1274659216756,01_AUS
1.1 Coal & Coal Products,2004,189.43676424460466,01_AUS
1.2 Crude Oil & Petroleum Products,2004,109.16632366127341,01_AUS
1.3 Gas,2004,49.52437801579756,01_AUS
,2004,,01_AUS
2. CO2 Emission by Sector,2004,348.12746592167554,01_AUS
2.1 Transformation Sector,2004,208.65845661029778,01_AUS
2.1.1 Main Activity Producer,2004,193.54043823439218,01_AUS
2.1.2 Autoproducers,2004,0.0,01_AUS
2.1.3 Gas Processing,2004,7.232521697675712,01_AUS
2.1.4 Loss & Own Use,2004,7.885496678229935,01_AUS
,2004,,01_AUS
2.2 Final Energy Consumption Sector,2004,139.4690093113778,01_AUS
2.2.1 Industry Sector,2004,43.830471268073694,01_AUS
2.2.2 Transport Sector,2004,76.92921610213794,01_AUS
2.2.3 Residential & Commercial,2004,12.013180136422704,01_AUS
2.2.4 Other,2004,6.696141804743461,01_AUS
Total CO2 Emission,2005,353.6306735377276,01_AUS
,2005,,01_AUS
1. CO2 Emission by Energy,2005,353.6306735377276,01_AUS
1.1 Coal & Coal Products,2005,190.2342126665387,01_AUS
1.2 Crude Oil & Petroleum Products,2005,111.87550794826464,01_AUS
1.3 Gas,2005,51.520952922924266,01_AUS
,2005,,01_AUS
2. CO2 Emission by Sector,2005,353.6306735377276,01_AUS
2.1 Transformation Sector,2005,210.84945668126116,01_AUS
2.1.1 Main Activity Producer,2005,195.66671430423608,01_AUS
2.1.2 Autoproducers,2005,0.0,01_AUS
2.1.3 Gas Processing,2005,7.47235455627452,01_AUS
2.1.4 Loss & Own Use,2005,7.710387820750565,01_AUS
,2005,,01_AUS
2.2 Final Energy Consumption Sector,2005,142.78121685646644,01_AUS
2.2.1 Industry Sector,2005,45.37476173280918,01_AUS
2.2.2 Transport Sector,2005,78.2025032193072,01_AUS
2.2.3 Residential & Commercial,2005,12.126212264791885,01_AUS
2.2.4 Other,2005,7.077739639558183,01_AUS
Total CO2 Emission,2006,358.2987330077118,01_AUS
,2006,,01_AUS
1. CO2 Emission by Energy,2006,358.2987330077118,01_AUS
1.1 Coal & Coal Products,2006,193.7629841151729,01_AUS
1.2 Crude Oil & Petroleum Products,2006,112.11374267830267,01_AUS
1.3 Gas,2006,52.4220062142362,01_AUS
,2006,,01_AUS
2. CO2 Emission by Sector,2006,358.29873300771175,01_AUS
2.1 Transformation Sector,2006,216.10179415829748,01_AUS
2.1.1 Main Activity Producer,2006,200.1995558661234,01_AUS
2.1.2 Autoproducers,2006,0.0,01_AUS
2.1.3 Gas Processing,2006,8.100263134191218,01_AUS
2.1.4 Loss & Own Use,2006,7.801975157982847,01_AUS
,2006,,01_AUS
2.2 Final Energy Consumption Sector,2006,142.19693884941432,01_AUS
2.2.1 Industry Sector,2006,43.967273088626,01_AUS
2.2.2 Transport Sector,2006,78.88601137288227,01_AUS
2.2.3 Residential & Commercial,2006,12.698088322382107,01_AUS
2.2.4 Other,2006,6.64556606552396,01_AUS
Total CO2 Emission,2007,365.1237697910124,01_AUS
,2007,,01_AUS
1. CO2 Emission by Energy,2007,365.1237697910124,01_AUS
1.1 Coal & Coal Products,2007,192.40762003283433,01_AUS
1.2 Crude Oil & Petroleum Products,2007,115.02018221156173,01_AUS
1.3 Gas,2007,57.69596754661631,01_AUS
,2007,,01_AUS
2. CO2 Emission by Sector,2007,365.12376979101225,01_AUS
2.1 Transformation Sector,2007,219.57041272827044,01_AUS
2.1.1 Main Activity Producer,2007,202.96671922491208,01_AUS
2.1.2 Autoproducers,2007,0.0,01_AUS
2.1.3 Gas Processing,2007,8.474516379077814,01_AUS
2.1.4 Loss & Own Use,2007,8.129177124280574,01_AUS
,2007,,01_AUS
2.2 Final Energy Consumption Sector,2007,145.5533570627418,01_AUS
2.2.1 Industry Sector,2007,44.33437935066904,01_AUS
2.2.2 Transport Sector,2007,81.52997704435988,01_AUS
2.2.3 Residential & Commercial,2007,12.782350073011626,01_AUS
2.2.4 Other,2007,6.906650594701307,01_AUS
Total CO2 Emission,2008,370.6775691897161,01_AUS
,2008,,01_AUS
1. CO2 Emission by Energy,2008,370.6775691897161,01_AUS
1.1 Coal & Coal Products,2008,193.69769042678658,01_AUS
1.2 Crude Oil & Petroleum Products,2008,118.65054598836655,01_AUS
1.3 Gas,2008,58.32933277456297,01_AUS
,2008,,01_AUS
2. CO2 Emission by Sector,2008,370.67756918971617,01_AUS
2.1 Transformation Sector,2008,220.63997231171874,01_AUS
2.1.1 Main Activity Producer,2008,204.79783307240282,01_AUS
2.1.2 Autoproducers,2008,0.0,01_AUS
2.1.3 Gas Processing,2008,8.012702365734766,01_AUS
2.1.4 Loss & Own Use,2008,7.829436873581163,01_AUS
,2008,,01_AUS
2.2 Final Energy Consumption Sector,2008,150.03759687799743,01_AUS
2.2.1 Industry Sector,2008,46.524080917934285,01_AUS
2.2.2 Transport Sector,2008,83.47077869480228,01_AUS
2.2.3 Residential & Commercial,2008,13.040319706833385,01_AUS
2.2.4 Other,2008,7.002417558427488,01_AUS
Total CO2 Emission,2009,375.82246214079174,01_AUS
,2009,,01_AUS
1. CO2 Emission by Energy,2009,375.82246214079174,01_AUS
1.1 Coal & Coal Products,2009,197.11398567553152,01_AUS
1.2 Crude Oil & Petroleum Products,2009,118.47009825541399,01_AUS
1.3 Gas,2009,60.238378209846246,01_AUS
,2009,,01_AUS
2. CO2 Emission by Sector,2009,375.8224621407918,01_AUS
2.1 Transformation Sector,2009,226.8943380283486,01_AUS
2.1.1 Main Activity Producer,2009,210.25399342354814,01_AUS
2.1.2 Autoproducers,2009,0.0,01_AUS
2.1.3 Gas Processing,2009,8.87226246692958,01_AUS
2.1.4 Loss & Own Use,2009,7.76808213787089,01_AUS
,2009,,01_AUS
2.2 Final Energy Consumption Sector,2009,148.9281241124432,01_AUS
2.2.1 Industry Sector,2009,45.75219068401436,01_AUS
2.2.2 Transport Sector,2009,83.23713734816766,01_AUS
2.2.3 Residential & Commercial,2009,12.988371564358133,01_AUS
2.2.4 Other,2009,6.950424515903,01_AUS
Total CO2 Emission,2010,370.80257147778127,01_AUS
,2010,,01_AUS
1. CO2 Emission by Energy,2010,370.80257147778127,01_AUS
1.1 Coal & Coal Products,2010,189.47451630017426,01_AUS
1.2 Crude Oil & Petroleum Products,2010,120.19525050194032,01_AUS
1.3 Gas,2010,61.132804675666655,01_AUS
,2010,,01_AUS
2. CO2 Emission by Sector,2010,370.8025714777812,01_AUS
2.1 Transformation Sector,2010,220.9306363336878,01_AUS
2.1.1 Main Activity Producer,2010,203.73857727862443,01_AUS
2.1.2 Autoproducers,2010,0.0,01_AUS
2.1.3 Gas Processing,2010,8.724095152899334,01_AUS
2.1.4 Loss & Own Use,2010,8.46796390216404,01_AUS
,2010,,01_AUS
2.2 Final Energy Consumption Sector,2010,149.87193514409344,01_AUS
2.2.1 Industry Sector,2010,44.77827720543478,01_AUS
2.2.2 Transport Sector,2010,84.67702391821216,01_AUS
2.2.3 Residential & Commercial,2010,13.283743350400202,01_AUS
2.2.4 Other,2010,7.13289067004631,01_AUS
Total CO2 Emission,2011,370.71460910636125,01_AUS
,2011,,01_AUS
1. CO2 Emission by Energy,2011,370.71460910636125,01_AUS
1.1 Coal & Coal Products,2011,181.0259180933476,01_AUS
1.2 Crude Oil & Petroleum Products,2011,126.69718334438856,01_AUS
1.3 Gas,2011,62.99150766862512,01_AUS
,2011,,01_AUS
2. CO2 Emission by Sector,2011,370.7146091063614,01_AUS
2.1 Transformation Sector,2011,214.55241780333697,01_AUS
2.1.1 Main Activity Producer,2011,197.1460149171457,01_AUS
2.1.2 Autoproducers,2011,0.0,01_AUS
2.1.3 Gas Processing,2011,8.635429205914985,01_AUS
2.1.4 Loss & Own Use,2011,8.770973680276239,01_AUS
,2011,,01_AUS
2.2 Final Energy Consumption Sector,2011,156.16219130302443,01_AUS
2.2.1 Industry Sector,2011,48.16039303223257,01_AUS
2.2.2 Transport Sector,2011,87.38411853237335,01_AUS
2.2.3 Residential & Commercial,2011,13.54796786918643,01_AUS
2.2.4 Other,2011,7.069711869232065,01_AUS
Total CO2 Emission,2012,374.66177641034244,01_AUS
,2012,,01_AUS
1. CO2 Emission by Energy,2012,374.66177641034244,01_AUS
1.1 Coal & Coal Products,2012,179.43925205496197,01_AUS
1.2 Crude Oil & Petroleum Products,2012,130.26664466845932,01_AUS
1.3 Gas,2012,64.95587968692111,01_AUS
,2012,,01_AUS
2. CO2 Emission by Sector,2012,374.66177641034244,01_AUS
2.1 Transformation Sector,2012,214.07454477216243,01_AUS
2.1.1 Main Activity Producer,2012,197.71667698493786,01_AUS
2.1.2 Autoproducers,2012,0.0,01_AUS
2.1.3 Gas Processing,2012,8.871537012048178,01_AUS
2.1.4 Loss & Own Use,2012,7.486330775176365,01_AUS
,2012,,01_AUS
2.2 Final Energy Consumption Sector,2012,160.58723163818004,01_AUS
2.2.1 Industry Sector,2012,50.554385959537115,01_AUS
2.2.2 Transport Sector,2012,89.14883301775612,01_AUS
2.2.3 Residential & Commercial,2012,13.776876862762736,01_AUS
2.2.4 Other,2012,7.107135798124037,01_AUS
Total CO2 Emission,2013,367.390748688415,01_AUS
,2013,,01_AUS
1. CO2 Emission by Energy,2013,367.390748688415,01_AUS
1.1 Coal & Coal Products,2013,167.56355810626144,01_AUS
1.2 Crude Oil & Petroleum Products,2013,133.43554716180117,01_AUS
1.3 Gas,2013,66.39164342035245,01_AUS
,2013,,01_AUS
2. CO2 Emission by Sector,2013,367.3907486884151,01_AUS
2.1 Transformation Sector,2013,201.8255801144688,01_AUS
2.1.1 Main Activity Producer,2013,186.03053899239268,01_AUS
2.1.2 Autoproducers,2013,0.0,01_AUS
2.1.3 Gas Processing,2013,9.07137765310866,01_AUS
2.1.4 Loss & Own Use,2013,6.723663468967501,01_AUS
,2013,,01_AUS
2.2 Final Energy Consumption Sector,2013,165.5651685739463,01_AUS
2.2.1 Industry Sector,2013,54.785621994924654,01_AUS
2.2.2 Transport Sector,2013,89.5915315522899,01_AUS
2.2.3 Residential & Commercial,2013,13.98366441211783,01_AUS
2.2.4 Other,2013,7.204350614613878,01_AUS
Total CO2 Emission,2014,372.936564425055,01_AUS
,2014,,01_AUS
1. CO2 Emission by Energy,2014,372.936564425055,01_AUS
1.1 Coal & Coal Products,2014,167.12576583516858,01_AUS
1.2 Crude Oil & Petroleum Products,2014,132.21516793247534,01_AUS
1.3 Gas,2014,73.59563065741108,01_AUS
,2014,,01_AUS
2. CO2 Emission by Sector,2014,372.936564425055,01_AUS
2.1 Transformation Sector,2014,218.1012995821576,01_AUS
2.1.1 Main Activity Producer,2014,173.0331203648655,01_AUS
2.1.2 Autoproducers,2014,9.30453932659538,01_AUS
2.1.3 Gas Processing,2014,0.0,01_AUS
2.1.4 Loss & Own Use,2014,35.763639890696666,01_AUS
,2014,,01_AUS
2.2 Final Energy Consumption Sector,2014,154.8352648428974,01_AUS
2.2.1 Industry Sector,2014,42.118646882649635,01_AUS
2.2.2 Transport Sector,2014,92.49299688223095,01_AUS
2.2.3 Residential & Commercial,2014,13.906916311486624,01_AUS
2.2.4 Other,2014,6.316704766530185,01_AUS
Total CO2 Emission,2015,380.2809048508245,01_AUS
,2015,,01_AUS
1. CO2 Emission by Energy,2015,380.2809048508245,01_AUS
1.1 Coal & Coal Products,2015,172.70967764445152,01_AUS
1.2 Crude Oil & Petroleum Products,2015,132.9129592568713,01_AUS
1.3 Gas,2015,74.65826794950165,01_AUS
,2015,,01_AUS
2. CO2 Emission by Sector,2015,380.2809048508245,01_AUS
2.1 Transformation Sector,2015,223.10682476016626,01_AUS
2.1.1 Main Activity Producer,2015,180.6939492392588,01_AUS
2.1.2 Autoproducers,2015,9.732925539189829,01_AUS
2.1.3 Gas Processing,2015,0.0,01_AUS
2.1.4 Loss & Own Use,2015,32.67994998171765,01_AUS
,2015,,01_AUS
2.2 Final Energy Consumption Sector,2015,157.17408009065815,01_AUS
2.2.1 Industry Sector,2015,41.38203137865682,01_AUS
2.2.2 Transport Sector,2015,94.70772520089655,01_AUS
2.2.3 Residential & Commercial,2015,14.46224484954043,01_AUS
2.2.4 Other,2015,6.622078661564365,01_AUS
Total CO2 Emission,2016,392.0367251981053,01_AUS
,2016,,01_AUS
1. CO2 Emission by Energy,2016,392.0367251981053,01_AUS
1.1 Coal & Coal Products,2016,177.57478179803445,01_AUS
1.2 Crude Oil & Petroleum Products,2016,133.18477456882954,01_AUS
1.3 Gas,2016,81.27716883124133,01_AUS
,2016,,01_AUS
2. CO2 Emission by Sector,2016,392.0367251981053,01_AUS
2.1 Transformation Sector,2016,235.885168686099,01_AUS
2.1.1 Main Activity Producer,2016,185.11551515760505,01_AUS
2.1.2 Autoproducers,2016,9.447447309144808,01_AUS
2.1.3 Gas Processing,2016,0.0,01_AUS
2.1.4 Loss & Own Use,2016,41.322206219349155,01_AUS
,2016,,01_AUS
2.2 Final Energy Consumption Sector,2016,156.15155651200635,01_AUS
2.2.1 Industry Sector,2016,38.18062545182531,01_AUS
2.2.2 Transport Sector,2016,96.0665561351945,01_AUS
2.2.3 Residential & Commercial,2016,14.694775434101196,01_AUS
2.2.4 Other,2016,7.2095994908853465,01_AUS
Total CO2 Emission,2017,384.09884348880007,01_AUS
,2017,,01_AUS
1. CO2 Emission by Energy,2017,384.09884348880007,01_AUS
